batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
R_ILM_L5_B2,F7/D6,Salmon,SO,0.80312497034422,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,Salmon,SO,0.793110846546477,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,Salmon,SO,0.668864351955329,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,Salmon,SO,0.598515260423718,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,Salmon,SO,0.645768023695411,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,Salmon,SO,0.825907875531117,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,Salmon,SO,0.737049501433294,RC,R_ILM,L6,isoform
R_ILM_L6_B1,M8/D6,Salmon,SO,0.738768080550182,RC,R_ILM,L6,isoform
R_ILM_L8_B1,D5/D6,Salmon,SO,0.841545369276313,RC,R_ILM,L8,isoform
R_ILM_L8_B1,F7/D6,Salmon,SO,0.750768355740659,RC,R_ILM,L8,isoform
R_ILM_L8_B1,M8/D6,Salmon,SO,0.744818225534537,RC,R_ILM,L8,isoform
P_BGI_L3_B1,D5/D6,RSEM,SO,0.88812803046442,RC,P_BGI,L3,isoform
P_BGI_L3_B1,F7/D6,RSEM,SO,0.866292595006988,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,RSEM,SO,0.818365609887426,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,RSEM,SO,0.885902732350889,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,RSEM,SO,0.910719927819845,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,RSEM,SO,0.785158139357864,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,RSEM,SO,0.88324369662953,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,RSEM,SO,0.881279209012023,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,RSEM,SO,0.772934809995391,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,RSEM,SO,0.918991805354815,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,RSEM,SO,0.849740108030887,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,RSEM,SO,0.780694894295749,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,RSEM,SO,0.829412488587406,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,RSEM,SO,0.759242828237329,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,RSEM,SO,0.763859004353154,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,RSEM,SO,0.855465653074741,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,RSEM,SO,0.875438202718259,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,RSEM,SO,0.798540352055595,RC,P_ILM,L6,isoform
P_ILM_L8_B1,D5/D6,RSEM,SO,0.888126450754102,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,RSEM,SO,0.823395862952967,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,RSEM,SO,0.80587047432337,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,RSEM,SO,0.895136307300544,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,RSEM,SO,0.82546709223598,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,RSEM,SO,0.737588715288213,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,RSEM,SO,0.846437025026928,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,RSEM,SO,0.844065123124166,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,RSEM,SO,0.774919846451953,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,RSEM,SO,0.75571456434045,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,RSEM,SO,0.732082394078009,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,RSEM,SO,0.68052800319991,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,RSEM,SO,0.866445351965121,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,RSEM,SO,0.754382457878613,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,RSEM,SO,0.787137083197835,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,RSEM,SO,0.847607132963941,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,RSEM,SO,0.772680372523483,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,RSEM,SO,0.74822477957,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,RSEM,SO,0.791729340846714,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,RSEM,SO,0.709143093902756,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,RSEM,SO,0.70609200614569,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,RSEM,SO,0.889798640682286,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,RSEM,SO,0.812484104630137,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,RSEM,SO,0.716877039015511,RC,R_ILM,L2,isoform
R_ILM_L4_B1,D5/D6,RSEM,SO,0.77912291240592,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,RSEM,SO,0.741066331144703,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,RSEM,SO,0.708525910159631,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,RSEM,SO,0.881356323000995,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,RSEM,SO,0.855858459719921,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,RSEM,SO,0.834140107115755,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,RSEM,SO,0.892475009137712,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,RSEM,SO,0.839151620879729,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,RSEM,SO,0.826052625884231,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,RSEM,SO,0.821006277432946,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,RSEM,SO,0.803619596412681,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,RSEM,SO,0.777670712350085,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,RSEM,SO,0.849947810972083,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,RSEM,SO,0.82113442485363,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,RSEM,SO,0.803147399813502,RC,R_ILM,L5,isoform
